,,,,,oral_scc,oral_non,oral_lip_scc,oral_lip_non,oral_tongue_scc,oral_tongue_non,oral_salivary_scc,oral_salivary_non,oral_floor_scc,oral_floor_non,oral_gum_scc,oral_gum_non,oral_nasopharynx_scc,oral_nasopharynx_non,oral_tonsil_scc,oral_tonsil_non,oral_oropharynx_scc,oral_oropharynx_non,oral_hypopharynx_scc,oral_hypopharynx_non,oral_other_scc,oral_other_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,34,11,8,0,7,3,1,4,1,0,2,0,1,3,9,1,1,0,2,0,2,0
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,97,17,5,1,33,4,5,6,7,1,4,1,4,3,25,0,3,0,7,1,4,0
  CA: Alameda County (06001),2000-2004,male,65+,nhw,86,13,18,1,19,3,11,6,4,0,8,2,4,0,10,1,4,0,7,0,1,0
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,15,7,1,0,8,0,0,5,1,0,0,0,0,1,4,0,0,0,1,0,0,1
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,34,9,1,1,15,1,0,6,2,0,9,1,0,0,6,0,0,0,1,0,0,0
  CA: Alameda County (06001),2000-2004,female,65+,nhw,51,19,7,2,15,2,2,8,4,0,13,6,1,0,1,0,2,0,4,0,2,1
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,26,9,4,0,9,3,0,2,0,0,0,1,2,2,9,1,2,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,132,29,11,0,56,8,4,9,6,1,7,3,2,1,39,5,3,0,3,2,1,0
  CA: Alameda County (06001),2005-2009,male,65+,nhw,86,17,14,1,27,1,8,9,5,0,8,2,0,1,7,0,6,1,11,2,0,0
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,7,3,1,0,5,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,26,20,2,1,14,3,0,8,0,0,1,3,0,4,5,1,1,0,1,0,2,0
  CA: Alameda County (06001),2005-2009,female,65+,nhw,57,12,10,0,14,0,3,5,4,0,12,5,1,2,6,0,4,0,2,0,1,0
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,16,1,3,0,8,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,101,15,4,1,39,2,0,7,3,0,6,1,2,1,34,3,4,0,8,0,1,0
  CA: Alameda County (06001),2010-2013,male,65+,nhw,71,15,8,1,29,4,8,4,4,0,10,2,0,1,4,3,3,0,4,0,1,0
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,24,9,2,0,10,1,0,6,3,1,3,0,1,0,4,0,0,0,0,0,1,1
  CA: Alameda County (06001),2010-2013,female,65+,nhw,35,9,2,0,16,0,1,6,3,0,8,2,0,1,5,0,0,0,0,0,0,0
  CA: Contra Costa County (06013),2000-2004,male,0-44,nhw,25,10,5,0,8,0,1,5,0,0,2,1,0,0,6,3,3,1,0,0,0,0
